ActivityType,opening Time,Latest start time,Closing time,earliest Closing time,duration
Park/playground/sports ground/court/gym centre/swimming pool/beach,28800,na,75600,na,12631
Park/playground/sports ground/court/gym centre/swimming pool/beach_StartOrEnd,na,na,na,na,43200
Petrol station (please specify purpose),28800,na,82800,na,300
Petrol station (please specify purpose)_StartOrEnd,na,na,na,na,43200
Petrol station / Oil depots / LPG filling station,32400,na,72000,na,6614
Petrol station / Oil depots / LPG filling station_StartOrEnd,na,na,na,na,43200
Place nearby to home / downstairs (please specify purpose),na,na,na,na,0
Place nearby to home / downstairs (please specify purpose)_StartOrEnd,na,na,na,na,43200
Places of work of other people (non-work purpose),36000,na,68400,na,6683
Places of work of other people (non-work purpose)_StartOrEnd,na,na,na,na,43200
Police station / immigration department / other government offices,32400,na,57600,na,4102
Police station / immigration department / other government offices_StartOrEnd,na,na,na,na,43200
Post office,36000,na,57600,na,1500
Post office_StartOrEnd,na,na,na,na,43200
Power plants / Electric substations / Bulk infeed substations,28800,na,68400,na,7421
Power plants / Electric substations / Bulk infeed substations_StartOrEnd,na,na,na,na,43200
Public parking area,28800,na,64800,na,5412
Public parking area_StartOrEnd,na,na,na,na,43200
Public refuse collection Points / Refuse transfer stations / Refuse collection stations,32400,na,75600,na,2503
Public refuse collection Points / Refuse transfer stations / Refuse collection stations_StartOrEnd,na,na,na,na,43200
Public transport stations / stops / piers,25200,na,86400,na,4012
Public transport stations / stops / piers_StartOrEnd,na,na,na,na,43200
Pumping station_StartOrEnd,na,na,na,na,43200
Racecourse,39600,na,68400,na,8055
Racecourse_StartOrEnd,na,na,na,na,43200
Recorder house,36000,na,61200,na,5550
Recorder house_StartOrEnd,na,na,na,na,43200
Refuse sorting facilities,39600,na,57600,na,1200
Refuse sorting facilities_StartOrEnd,na,na,na,na,43200
Residential,32400,na,64800,na,5397
Residential_StartOrEnd,na,na,na,na,43200
School,32400,na,61200,na,3954
School/educational institution that oneself studied,21600,32400,68400,57600,26062
School/educational institution that oneself studied_StartOrEnd,na,na,na,na,43200
School/educational institution that other people studied,28800,na,61200,na,5676
School/educational institution that other people studied_StartOrEnd,na,na,na,na,43200
School_StartOrEnd,na,na,na,na,43200
Securities company / investment center,32400,na,61200,na,2400
Securities company / investment center_StartOrEnd,na,na,na,na,43200
Sewage treatment plants,32400,na,68400,na,11576
Sewage treatment plants_StartOrEnd,na,na,na,na,43200
Shop / Restaurant,32400,na,72000,na,3531
Shop / Restaurant_StartOrEnd,na,na,na,na,43200
Slaughterhouses,36000,na,68400,na,11250
Slaughterhouses_StartOrEnd,na,na,na,na,43200
Sports centers / Sports grounds / Pitches / Courts,32400,na,68400,na,8320
Sports centers / Sports grounds / Pitches / Courts_StartOrEnd,na,na,na,na,43200
Swimming pools,28800,na,79200,na,900
Swimming pools_StartOrEnd,na,na,na,na,43200
Telephone exchange buildings,32400,na,64800,na,7525
Telephone exchange buildings_StartOrEnd,na,na,na,na,43200
Television stations,28800,na,64800,na,1900
Television stations_StartOrEnd,na,na,na,na,43200
Temple_StartOrEnd,na,na,na,na,43200
Test centers,68400,71400,75600,na,3300
Test centers_StartOrEnd,na,na,na,na,43200
Tourist attractions_StartOrEnd,na,na,na,na,43200
Travel agent,36000,na,57600,na,6300
Travel agent_StartOrEnd,na,na,na,na,43200
Tunnels / Bridges / Tolls / Roads / Roadside,32400,na,64800,na,3405
Tunnels / Bridges / Tolls / Roads / Roadside_StartOrEnd,na,na,na,na,43200
Tutorial center,50400,58980.6175,75600,na,6319
Tutorial center_StartOrEnd,na,na,na,na,43200
Usual place of work,25200,32400,75600,68400,33612
Usual place of work_StartOrEnd,na,na,na,na,43200
Vehicle repair centers / Vehicle examination centers / Garage / Vehicle cleansing services sites,32400,na,61200,na,4520
Vehicle repair centers / Vehicle examination centers / Garage / Vehicle cleansing services sites_StartOrEnd,na,na,na,na,43200
Vehicle scrap yard,32400,na,61200,na,24000
Vehicle scrap yard_StartOrEnd,na,na,na,na,43200
Viewing property,39600,na,79200,na,10224
Viewing property_StartOrEnd,na,na,na,na,43200
Warehouse,36000,na,64800,na,6446
Warehouse_StartOrEnd,na,na,na,na,43200
Water treatment works,32400,na,64800,na,13846
Water treatment works_StartOrEnd,na,na,na,na,43200
